Ticker,Compared_To,Correlation
DRREDDY,BPCL,0.19
EICHERMOT,BPCL,0.25
GRASIM,BPCL,0.34
HCLTECH,BPCL,0.15
HDFCBANK,BPCL,0.22
HDFCLIFE,BPCL,0.17
HEROMOTOCO,BPCL,0.22
HINDALCO,BPCL,0.35
HINDUNILVR,BPCL,-0.01
ICICIBANK,BPCL,0.22
INDUSINDBK,BPCL,0.36
INFY,BPCL,0.13
ITC,BPCL,0.17
JSWSTEEL,BPCL,0.37
KOTAKBANK,BPCL,0.15
LT,BPCL,0.47
M&M,BPCL,0.28
MARUTI,BPCL,0.3
NESTLEIND,BPCL,0.06
NTPC,BPCL,0.61
ONGC,BPCL,0.6
POWERGRID,BPCL,0.54
RELIANCE,BPCL,0.48
SBILIFE,BPCL,0.24
SBIN,BPCL,0.53
SHRIRAMFIN,BPCL,0.41
SUNPHARMA,BPCL,0.21
TATACONSUM,BPCL,0.16
TATAMOTORS,BPCL,0.44
TATASTEEL,BPCL,0.47
TCS,BPCL,0.18
TECHM,BPCL,0.2
TITAN,BPCL,0.27
TRENT,BPCL,0.22
ULTRACEMCO,BPCL,0.4
WIPRO,BPCL,0.21
ADANIENT,BRITANNIA,0.12
ADANIPORTS,BRITANNIA,0.13
APOLLOHOSP,BRITANNIA,0.23
ASIANPAINT,BRITANNIA,0.43
AXISBANK,BRITANNIA,0.13
BAJAJ-AUTO,BRITANNIA,0.1
BAJAJFINSV,BRITANNIA,0.23
BAJFINANCE,BRITANNIA,0.21
BEL,BRITANNIA,0.07
BHARTIARTL,BRITANNIA,0.12
BPCL,BRITANNIA,0.02
BRITANNIA,BRITANNIA,1.0
CIPLA,BRITANNIA,0.15
COALINDIA,BRITANNIA,0.07
DRREDDY,BRITANNIA,0.19
EICHERMOT,BRITANNIA,0.09
GRASIM,BRITANNIA,0.22
HCLTECH,BRITANNIA,0.11
HDFCBANK,BRITANNIA,0.06
HDFCLIFE,BRITANNIA,-0.01
HEROMOTOCO,BRITANNIA,0.18
HINDALCO,BRITANNIA,0.1
HINDUNILVR,BRITANNIA,0.47
ICICIBANK,BRITANNIA,0.05
INDUSINDBK,BRITANNIA,0.12
INFY,BRITANNIA,0.1
ITC,BRITANNIA,0.38
JSWSTEEL,BRITANNIA,0.19
KOTAKBANK,BRITANNIA,0.23
LT,BRITANNIA,0.09
M&M,BRITANNIA,0.12
MARUTI,BRITANNIA,0.17
NESTLEIND,BRITANNIA,0.48
NTPC,BRITANNIA,0.08
ONGC,BRITANNIA,0.04
POWERGRID,BRITANNIA,-0.03
RELIANCE,BRITANNIA,0.14
SBILIFE,BRITANNIA,0.09
SBIN,BRITANNIA,-0.0
SHRIRAMFIN,BRITANNIA,0.12
SUNPHARMA,BRITANNIA,0.19
TATACONSUM,BRITANNIA,0.41
TATAMOTORS,BRITANNIA,0.1
TATASTEEL,BRITANNIA,0.11
TCS,BRITANNIA,0.11
TECHM,BRITANNIA,0.13
TITAN,BRITANNIA,0.07
TRENT,BRITANNIA,0.03
ULTRACEMCO,BRITANNIA,0.19
WIPRO,BRITANNIA,0.16
ADANIENT,CIPLA,0.09
ADANIPORTS,CIPLA,0.09
APOLLOHOSP,CIPLA,0.22
ASIANPAINT,CIPLA,0.15
AXISBANK,CIPLA,0.08
BAJAJ-AUTO,CIPLA,0.03
BAJAJFINSV,CIPLA,0.14
BAJFINANCE,CIPLA,0.05
BEL,CIPLA,0.08
BHARTIARTL,CIPLA,0.11
BPCL,CIPLA,0.06
BRITANNIA,CIPLA,0.15
CIPLA,CIPLA,1.0
COALINDIA,CIPLA,0.09
DRREDDY,CIPLA,0.41
EICHERMOT,CIPLA,0.08
GRASIM,CIPLA,0.15
HCLTECH,CIPLA,0.04
HDFCBANK,CIPLA,-0.03
HDFCLIFE,CIPLA,0.07
HEROMOTOCO,CIPLA,0.14
HINDALCO,CIPLA,0.09
HINDUNILVR,CIPLA,0.04
ICICIBANK,CIPLA,0.08
INDUSINDBK,CIPLA,0.03
INFY,CIPLA,0.05
ITC,CIPLA,0.12
JSWSTEEL,CIPLA,0.16
KOTAKBANK,CIPLA,0.03
LT,CIPLA,0.15
M&M,CIPLA,0.18
MARUTI,CIPLA,0.07
NESTLEIND,CIPLA,0.11
NTPC,CIPLA,0.09
ONGC,CIPLA,0.02
POWERGRID,CIPLA,0.12
RELIANCE,CIPLA,0.05
SBILIFE,CIPLA,0.12
SBIN,CIPLA,0.02
SHRIRAMFIN,CIPLA,0.08
SUNPHARMA,CIPLA,0.42
TATACONSUM,CIPLA,0.07
TATAMOTORS,CIPLA,0.05
TATASTEEL,CIPLA,0.13
TCS,CIPLA,0.08
TECHM,CIPLA,0.04
TITAN,CIPLA,0.1
TRENT,CIPLA,0.13
ULTRACEMCO,CIPLA,0.11
WIPRO,CIPLA,0.08
ADANIENT,COALINDIA,0.5
ADANIPORTS,COALINDIA,0.55
APOLLOHOSP,COALINDIA,0.25
ASIANPAINT,COALINDIA,0.19
AXISBANK,COALINDIA,0.32
BAJAJ-AUTO,COALINDIA,0.23
BAJAJFINSV,COALINDIA,0.29
BAJFINANCE,COALINDIA,0.28
BEL,COALINDIA,0.62
BHARTIARTL,COALINDIA,0.26
BPCL,COALINDIA,0.62
BRITANNIA,COALINDIA,0.07
CIPLA,COALINDIA,0.09
COALINDIA,COALINDIA,1.0
DRREDDY,COALINDIA,0.19
EICHERMOT,COALINDIA,0.3
GRASIM,COALINDIA,0.27
HCLTECH,COALINDIA,0.17
HDFCBANK,COALINDIA,0.27
HDFCLIFE,COALINDIA,0.2
HEROMOTOCO,COALINDIA,0.26
HINDALCO,COALINDIA,0.38
HINDUNILVR,COALINDIA,-0.04
ICICIBANK,COALINDIA,0.24
INDUSINDBK,COALINDIA,0.36
INFY,COALINDIA,0.11
ITC,COALINDIA,0.24
JSWSTEEL,COALINDIA,0.43
KOTAKBANK,COALINDIA,0.22
LT,COALINDIA,0.49
M&M,COALINDIA,0.29
MARUTI,COALINDIA,0.26
NESTLEIND,COALINDIA,0.08
NTPC,COALINDIA,0.62
ONGC,COALINDIA,0.65
POWERGRID,COALINDIA,0.53
RELIANCE,COALINDIA,0.51
SBILIFE,COALINDIA,0.24
SBIN,COALINDIA,0.51
SHRIRAMFIN,COALINDIA,0.43
SUNPHARMA,COALINDIA,0.18
TATACONSUM,COALINDIA,0.21
TATAMOTORS,COALINDIA,0.41
TATASTEEL,COALINDIA,0.53
TCS,COALINDIA,0.1
TECHM,COALINDIA,0.17
TITAN,COALINDIA,0.24
TRENT,COALINDIA,0.27
ULTRACEMCO,COALINDIA,0.33
WIPRO,COALINDIA,0.23
ADANIENT,DRREDDY,0.17
ADANIPORTS,DRREDDY,0.18
APOLLOHOSP,DRREDDY,0.24
ASIANPAINT,DRREDDY,0.15
AXISBANK,DRREDDY,0.09
BAJAJ-AUTO,DRREDDY,0.11
BAJAJFINSV,DRREDDY,0.27
BAJFINANCE,DRREDDY,0.09
BEL,DRREDDY,0.14
BHARTIARTL,DRREDDY,0.18
BPCL,DRREDDY,0.19
BRITANNIA,DRREDDY,0.19
CIPLA,DRREDDY,0.41
COALINDIA,DRREDDY,0.19
DRREDDY,DRREDDY,1.0
EICHERMOT,DRREDDY,0.13
GRASIM,DRREDDY,0.25
HCLTECH,DRREDDY,0.25
HDFCBANK,DRREDDY,0.15
HDFCLIFE,DRREDDY,0.11
HEROMOTOCO,DRREDDY,0.14
HINDALCO,DRREDDY,0.2
HINDUNILVR,DRREDDY,0.16
