ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
0.58,0.9,0.86,-0.1,0.7,0.94,0.47,-0.17,0.89,0.94,0.92,0.82,0.9,0.9,0.85,0.84,0.92,0.69,0.5,0.44,0.88,0.86,0.47,0.92,-0.46,0.73,0.59,0.89,0.13,0.7,0.89,0.73,0.07,1.0,0.85,0.94,0.64,0.79,0.85,0.91,0.93,0.61,0.73,0.67,0.81,0.82,-0.03,0.92,0.87,0.79
0.62,0.91,0.73,-0.21,0.57,0.8,0.14,-0.38,0.81,0.75,0.91,0.65,0.85,0.95,0.89,0.7,0.82,0.52,0.14,0.23,0.82,0.65,0.33,0.74,-0.27,0.61,0.38,0.6,-0.04,0.65,0.73,0.79,0.19,0.85,1.0,0.89,0.83,0.7,0.85,0.74,0.79,0.78,0.93,0.67,0.83,0.6,-0.02,0.71,0.73,0.68
0.56,0.93,0.77,-0.24,0.77,0.91,0.27,-0.27,0.95,0.91,0.92,0.76,0.9,0.93,0.83,0.89,0.94,0.56,0.41,0.28,0.92,0.84,0.41,0.91,-0.46,0.64,0.46,0.83,0.0,0.65,0.93,0.8,0.07,0.94,0.89,1.0,0.72,0.71,0.93,0.86,0.86,0.6,0.79,0.77,0.77,0.76,-0.19,0.87,0.86,0.76
0.8,0.86,0.51,-0.19,0.55,0.64,-0.03,-0.28,0.65,0.48,0.77,0.42,0.68,0.84,0.66,0.47,0.59,0.29,-0.07,-0.15,0.76,0.48,0.08,0.51,0.12,0.31,0.02,0.39,-0.0,0.71,0.48,0.71,0.47,0.64,0.83,0.72,1.0,0.41,0.74,0.48,0.52,0.85,0.92,0.75,0.65,0.28,0.21,0.42,0.58,0.57
0.25,0.62,0.79,0.28,0.53,0.79,0.7,0.05,0.63,0.78,0.73,0.84,0.79,0.68,0.85,0.63,0.78,0.75,0.52,0.77,0.68,0.6,0.78,0.76,-0.34,0.87,0.81,0.7,0.36,0.47,0.69,0.5,0.17,0.79,0.7,0.71,0.41,1.0,0.5,0.88,0.83,0.56,0.55,0.25,0.84,0.82,0.16,0.84,0.78,0.67
0.61,0.91,0.66,-0.43,0.71,0.81,0.08,-0.38,0.91,0.8,0.87,0.56,0.8,0.88,0.71,0.83,0.85,0.43,0.28,0.08,0.83,0.76,0.14,0.84,-0.44,0.43,0.21,0.73,-0.19,0.66,0.84,0.83,0.02,0.85,0.85,0.93,0.74,0.5,1.0,0.7,0.75,0.53,0.8,0.85,0.66,0.59,-0.27,0.73,0.72,0.7
0.34,0.75,0.89,0.02,0.69,0.93,0.63,0.01,0.81,0.95,0.81,0.86,0.89,0.77,0.83,0.78,0.9,0.78,0.6,0.61,0.82,0.8,0.64,0.92,-0.51,0.84,0.7,0.88,0.25,0.55,0.88,0.6,0.02,0.91,0.74,0.86,0.48,0.88,0.7,1.0,0.93,0.5,0.57,0.49,0.79,0.91,-0.03,0.97,0.87,0.79
0.42,0.78,0.94,-0.18,0.52,0.93,0.52,-0.23,0.76,0.92,0.89,0.74,0.92,0.79,0.86,0.72,0.85,0.84,0.41,0.54,0.78,0.72,0.45,0.9,-0.59,0.81,0.58,0.81,0.08,0.58,0.82,0.64,-0.04,0.93,0.79,0.86,0.52,0.83,0.75,0.93,1.0,0.54,0.64,0.49,0.84,0.86,-0.01,0.93,0.77,0.84
0.71,0.75,0.54,0.07,0.39,0.61,0.15,-0.2,0.49,0.44,0.71,0.52,0.67,0.75,0.69,0.32,0.5,0.42,-0.07,0.03,0.69,0.37,0.32,0.42,0.21,0.48,0.25,0.3,0.15,0.66,0.37,0.54,0.59,0.61,0.78,0.6,0.85,0.56,0.53,0.5,0.54,1.0,0.84,0.5,0.75,0.31,0.46,0.41,0.55,0.53
0.71,0.89,0.57,-0.22,0.48,0.72,0.02,-0.37,0.7,0.58,0.86,0.48,0.75,0.9,0.77,0.57,0.67,0.35,-0.03,0.02,0.77,0.53,0.14,0.58,-0.02,0.39,0.17,0.45,-0.11,0.7,0.57,0.81,0.35,0.73,0.93,0.79,0.92,0.55,0.8,0.57,0.64,0.84,1.0,0.75,0.74,0.38,0.14,0.53,0.59,0.55
0.67,0.8,0.39,-0.35,0.64,0.68,0.01,-0.16,0.77,0.61,0.71,0.41,0.63,0.78,0.45,0.71,0.66,0.09,0.14,-0.19,0.76,0.72,-0.02,0.6,-0.08,0.09,-0.0,0.62,-0.15,0.63,0.69,0.87,0.24,0.67,0.67,0.77,0.75,0.25,0.85,0.49,0.49,0.5,0.75,1.0,0.38,0.28,-0.12,0.5,0.54,0.41
0.5,0.78,0.83,0.0,0.5,0.79,0.4,-0.27,0.66,0.72,0.84,0.71,0.83,0.78,0.89,0.59,0.76,0.79,0.29,0.48,0.75,0.56,0.52,0.74,-0.33,0.85,0.57,0.62,0.17,0.62,0.64,0.52,0.18,0.81,0.83,0.77,0.65,0.84,0.66,0.79,0.84,0.75,0.74,0.38,1.0,0.76,0.19,0.76,0.77,0.83
0.18,0.61,0.85,0.0,0.64,0.78,0.56,-0.07,0.75,0.89,0.66,0.82,0.77,0.62,0.76,0.74,0.84,0.84,0.68,0.7,0.71,0.74,0.66,0.87,-0.68,0.91,0.76,0.84,0.27,0.44,0.83,0.36,-0.19,0.82,0.6,0.76,0.28,0.82,0.59,0.91,0.86,0.31,0.38,0.28,0.76,1.0,-0.16,0.92,0.85,0.82
0.34,0.02,0.09,0.45,-0.2,0.03,0.33,0.29,-0.3,-0.18,0.03,-0.02,0.02,-0.03,0.03,-0.35,-0.22,0.18,-0.18,0.02,0.01,-0.22,0.09,-0.21,0.59,0.09,0.04,-0.16,0.36,0.33,-0.32,-0.11,0.6,-0.03,-0.02,-0.19,0.21,0.16,-0.27,-0.03,-0.01,0.46,0.14,-0.12,0.19,-0.16,1.0,-0.16,-0.04,0.03
0.3,0.73,0.86,-0.05,0.68,0.93,0.58,-0.07,0.83,0.97,0.81,0.84,0.88,0.76,0.8,0.84,0.91,0.75,0.61,0.61,0.81,0.84,0.6,0.94,-0.62,0.81,0.69,0.91,0.17,0.49,0.92,0.62,-0.08,0.92,0.71,0.87,0.42,0.84,0.73,0.97,0.93,0.41,0.53,0.5,0.76,0.92,-0.16,1.0,0.84,0.78
0.45,0.8,0.77,0.1,0.83,0.81,0.45,0.02,0.87,0.84,0.73,0.89,0.81,0.77,0.8,0.8,0.91,0.66,0.67,0.51,0.86,0.81,0.67,0.86,-0.38,0.79,0.67,0.85,0.37,0.65,0.86,0.53,0.17,0.87,0.73,0.86,0.58,0.78,0.72,0.87,0.77,0.55,0.59,0.54,0.77,0.85,-0.04,0.84,1.0,0.79
0.5,0.74,0.88,-0.21,0.59,0.77,0.37,-0.28,0.69,0.76,0.75,0.64,0.8,0.67,0.78,0.57,0.75,0.88,0.42,0.39,0.73,0.59,0.36,0.81,-0.52,0.81,0.41,0.71,0.18,0.61,0.69,0.4,0.02,0.79,0.68,0.76,0.57,0.67,0.7,0.79,0.84,0.53,0.55,0.41,0.83,0.82,0.03,0.78,0.79,1.0
